,title,link,query,pageNumber,currentIndex
0,Spotify launches voice-enabled ads on mobile devices in a limited ...,https://techcrunch.com/wp-content/uploads/2019/05/spotify-voice-ad.png,spotify,5,1
1,Spotify Continues to Ramp Up Platform Safety Efforts with ...,https://storage.googleapis.com/pr-newsroom-wp/1/2022/10/Kinzen-1441x733.jpg,spotify,5,2
2,How Spotify employees maximize their use of Spotify - Protocol,https://www.protocol.com/media-library/spotify-app-with-headphones-on.png?id=29171621&width=1245&height=700&quality=85&coordinates=0%2C0%2C0%2C0,spotify,5,3
3,Spotify Founder and CEO Daniel Ek's Investor Day 2022 Remarks ...,https://storage.googleapis.com/pr-newsroom-wp/1/2022/06/5B2A2129_d2e0ac6a-7b1a-45da-96ce-ec768595cca6-1-1440x1440.jpg,spotify,5,4
4,Spotify CEO Daniel Ek Talks Joe Rogan With Investors as Stock ...,https://variety.com/wp-content/uploads/2021/10/Daniel-Ek-Spotify-CEO.png,spotify,5,5
5,Spotify's New Home Feeds Make Discovering Your New Favorites Easy ...,https://storage.googleapis.com/pr-newsroom-wp/1/2022/08/PR_header_1440_820_e-1440x733.png,spotify,5,6
6,Spotify's CEO Sent an Apology Email to His Employees. It Included ...,"https://img-cdn.inc.com/image/upload/w_1920,h_1080,c_fill/images/panoramic/getty_611053880_qevso1.jpg",spotify,5,7
7,Top Wall Street analysts say buy Apple & Spotify,https://image.cnbcfm.com/api/v1/image/105106589-RTX5FMJX.jpg?v=1674389296,spotify,5,8
8,Logo and Brand Assets — Spotify,https://storage.googleapis.com/pr-newsroom-wp/1/2018/11/Spotify_Logo_RGB_White.png,spotify,5,9
9,Spotify's new 'Enhance' feature will spruce up your playlists with ...,https://cdn.vox-cdn.com/thumbor/3wAYPWsddvp47yNUPI1SA2KtLEk=/1400x1400/filters:format(png)/cdn.vox-cdn.com/uploads/chorus_asset/file/22837156/Spotify_Enhance_PR_Static_1920x733.png,spotify,5,10
10,Spotify Continues to Ramp Up Platform Safety Efforts with ...,https://storage.googleapis.com/pr-newsroom-wp/1/2022/10/Kinzen-1441x733.jpg,spotify,6,1
11,How Spotify employees maximize their use of Spotify - Protocol,https://www.protocol.com/media-library/spotify-app-with-headphones-on.png?id=29171621&width=1245&height=700&quality=85&coordinates=0%2C0%2C0%2C0,spotify,6,2
12,Spotify Founder and CEO Daniel Ek's Investor Day 2022 Remarks ...,https://storage.googleapis.com/pr-newsroom-wp/1/2022/06/5B2A2129_d2e0ac6a-7b1a-45da-96ce-ec768595cca6-1-1440x1440.jpg,spotify,6,3
13,Spotify CEO Daniel Ek Talks Joe Rogan With Investors as Stock ...,https://variety.com/wp-content/uploads/2021/10/Daniel-Ek-Spotify-CEO.png,spotify,6,4
14,Spotify's New Home Feeds Make Discovering Your New Favorites Easy ...,https://storage.googleapis.com/pr-newsroom-wp/1/2022/08/PR_header_1440_820_e-1440x733.png,spotify,6,5
15,Spotify's CEO Sent an Apology Email to His Employees. It Included ...,"https://img-cdn.inc.com/image/upload/w_1920,h_1080,c_fill/images/panoramic/getty_611053880_qevso1.jpg",spotify,6,6
16,Top Wall Street analysts say buy Apple & Spotify,https://image.cnbcfm.com/api/v1/image/105106589-RTX5FMJX.jpg?v=1674389296,spotify,6,7
17,Logo and Brand Assets — Spotify,https://storage.googleapis.com/pr-newsroom-wp/1/2018/11/Spotify_Logo_RGB_White.png,spotify,6,8
18,Spotify's new 'Enhance' feature will spruce up your playlists with ...,https://cdn.vox-cdn.com/thumbor/3wAYPWsddvp47yNUPI1SA2KtLEk=/1400x1400/filters:format(png)/cdn.vox-cdn.com/uploads/chorus_asset/file/22837156/Spotify_Enhance_PR_Static_1920x733.png,spotify,6,9
19,Spotify Takes Discovery to the Next Level in a New Beta Test — Spotify,https://storage.googleapis.com/pr-newsroom-wp/1/2022/04/Spotify-PR-Article_1440x820-1440x733.jpg,spotify,6,10
